Season,TeamId,ES L1 LW,ES L1 C,ES L1 RW,ES L1 LD,ES L1 RD,ES L2 LW,ES L2 C,ES L2 RW,ES L2 LD,ES L2 RD,ES L3 LW,ES L3 C,ES L3 RW,ES L3 LD,ES L3 RD,ES L4 LW,ES L4 C,ES L4 RW,ES L4 LD,ES L4 RD,PP5on4 L1 LW,PP5on4 L1 C,PP5on4 L1 RW,PP5on4 L1 LD,PP5on4 L1 RD,PP5on4 L2 LW,PP5on4 L2 C,PP5on4 L2 RW,PP5on4 L2 LD,PP5on4 L2 RD,PP5on3 L1 LW,PP5on3 L1 C,PP5on3 L1 RW,PP5on3 L1 LD,PP5on3 L1 RD,PP5on3 L2 LW,PP5on3 L2 C,PP5on3 L2 RW,PP5on3 L2 LD,PP5on3 L2 RD,PP4on3 L1 F1,PP4on3 L1 F2,PP4on3 L1 LD,PP4on3 L1 RD,PP4on3 L2 F1,PP4on3 L2 F2,PP4on3 L2 LD,PP4on3 L2 RD,PK4on5 L1 F1,PK4on5 L1 F2,PK4on5 L1 LD,PK4on5 L1 RD,PK4on5 L2 F1,PK4on5 L2 F2,PK4on5 L2 LD,PK4on5 L2 LD.1,PK4on5 L3 F1,PK4on5 L3 F2,PK4on5 L3 LD,PK4on5 L3 LD.1,PK3on5 L1 F1,PK3on5 L1 LD,PK3on5 L1 RD,PK3on5 L2 F1,PK3on5 L2 LD,PK3on5 L2 LD.1,PK3on4 L1 F1,PK3on4 L1 LD,PK3on4 L1 RD,PK3on4 L2 F1,PK3on4 L2 LD,PK3on4 L2 LD.1,4on4 L1 F1,4on4 L1 F2,4on4 L1 LD,4on4 L1 RD,4on4 L2 F1,4on4 L2 F2,4on4 L2 LD,4on4 L2 LD.1,3on3 L1 F1,3on3 L1 LD,3on3 L1 RD,3on3 L2 F1,3on3 L2 LD,3on3 L2 LD.1,Shootout 1,Shootout 2,Shootout 3,Shootout 4,Shootout 5,Goalie 1,Goalie 2,Extra Attacker 1,Extra Attacker 2
2034/2035,0,56635,407,47473,36195,77868,18225,78171,126611,123217,149939,34511,153555,77531,18283,163804,167014,163543,150578,,,18225,153555,47473,18283,36195,56635,78171,77531,163543,77868,18225,153555,47473,18283,36195,56635,78171,77531,163543,77868,47473,18225,77531,18283,78171,153555,163543,36195,407,56635,123217,163804,34511,126611,36195,149939,167014,150578,18283,77868,56635,123217,163804,407,36195,149939,56635,123217,163804,407,36195,149939,18225,56635,36195,77868,407,47473,123217,149939,18225,56635,77868,407,47473,18283,18225,47473,77868,56635,18283,152908,74001,18225,56635
2034/2035,3,57224,77863,16127,25835,45165,8186,17696,164915,158364,165959,51724,158654,175898,171257,34411,158225,135287,156690,,,51724,77863,16127,25835,45165,158225,17696,156690,158654,171257,51724,77863,16127,25835,45165,158225,17696,156690,158654,171257,51724,77863,45165,25835,16127,17696,158654,171257,8186,57224,158364,165959,135287,164915,25835,45165,17696,77863,171257,34411,57224,158364,165959,8186,25835,45165,57224,158364,165959,8186,25835,45165,8186,57224,25835,45165,17696,77863,158364,165959,8186,57224,25835,51724,77863,158364,17696,77863,8186,156690,164915,147941,163273,57224,77863
2034/2035,5,11761,63789,78170,78340,77544,171851,29066,148697,134878,16815,138835,78315,57568,63441,6892,9490,78325,148997,,,9490,63789,57568,16815,78340,11761,78325,148697,77544,63441,9490,63789,57568,16815,78340,11761,78325,148697,77544,63441,63789,57568,9490,16815,11761,148697,77544,78340,78315,78170,134878,6892,171851,138835,78340,77544,148697,11761,63441,16815,78170,134878,6892,78315,78340,77544,78170,134878,6892,78315,78340,77544,148697,78170,134878,77544,11761,57568,78340,6892,148697,78170,78340,11761,57568,134878,148997,57568,78170,171851,11761,19576,55781,148997,148697
2034/2035,8,57898,708,73794,77234,175564,149506,132897,155228,136623,19258,154980,3655,152808,57561,34905,63779,77835,57576,,,154980,3655,152808,77234,175564,57898,708,73794,19258,34905,708,3655,152808,77234,175564,154980,132897,73794,19258,34905,152808,3655,154980,77234,57898,708,19258,175564,132897,708,136623,175564,57898,73794,77234,19258,57576,149506,57561,34905,132897,136623,175564,708,77234,19258,132897,136623,175564,708,77234,19258,132897,708,77234,175564,57898,3655,136623,19258,132897,708,77234,57898,3655,175564,3655,154980,152808,77234,57898,7062,177307,3655,708
2034/2035,9,137579,77521,14583,78331,77551,78167,148695,55573,55657,71264,78082,78322,77522,17628,170529,169782,73625,171965,,,137579,77521,14583,55573,71264,78167,171965,77522,77551,170529,137579,77521,14583,55573,71264,78167,171965,77522,77551,170529,14583,77521,55573,71264,148695,171965,170529,77551,148695,78322,78331,77551,137579,77522,55657,17628,78167,78082,170529,71264,148695,78331,77551,78322,55657,17628,148695,78331,77551,78322,55657,17628,14583,77521,78331,77551,148695,55573,55657,71264,14583,77521,78331,148695,55573,77551,137579,14583,77521,78167,169782,74218,37891,77521,14583
2034/2035,10,77876,77625,17704,18559,27073,56826,492,6758,74088,76054,78317,78084,134142,18226,137639,169808,42343,34513,,,77876,42343,492,27073,18559,56826,77625,17704,76054,74088,77876,42343,492,27073,18559,56826,77625,17704,76054,74088,42343,492,18559,27073,17704,77625,6758,76054,77625,17704,74088,137639,77876,6758,18226,76054,56826,134142,18559,27073,77625,76054,137639,17704,74088,27073,77625,76054,137639,17704,74088,27073,17704,77625,18559,27073,492,6758,74088,76054,17704,77625,27073,492,6758,76054,134142,77876,78317,492,78084,35699,132831,17704,77625
2034/2035,11,33975,17506,123287,10298,166792,160210,3110,156473,42334,78177,169401,41739,17714,30845,165314,149814,24373,77884,,,33975,17506,123287,10298,42334,160210,3110,156473,17714,30845,33975,17506,123287,10298,42334,160210,3110,156473,17714,30845,123287,17506,156473,10298,33975,17714,24373,42334,77884,169401,10298,166792,123287,17506,42334,78177,33975,156473,30845,165314,77884,10298,166792,169401,42334,78177,77884,10298,166792,169401,42334,78177,123287,17506,10298,166792,33975,156473,42334,78177,123287,17506,10298,33975,156473,42334,123287,33975,156473,78177,77884,677,46952,123287,17506
2034/2035,12,128854,78313,56058,73615,78323,29061,159494,699,34504,169013,77866,19815,129116,57582,137741,35463,18484,153254,,,128854,78313,56058,19815,34504,29061,159494,699,35463,78323,128854,78313,56058,29061,34504,35463,19815,699,159494,78323,128854,78313,56058,34504,29061,19815,699,78323,18484,159494,73615,137741,78313,77866,34504,78323,128854,56058,57582,169013,159494,73615,137741,18484,34504,78323,159494,73615,137741,77866,34504,78323,159494,78313,73615,78323,56058,128854,34504,169013,159494,78313,73615,56058,128854,34504,77866,35463,128854,56058,18484,32536,56386,159494,128854
2034/2035,14,56137,78161,73604,146199,36150,63794,56239,63336,158195,12362,147886,160895,78306,78310,19485,66395,42395,77739,,,66395,160895,42395,36150,158195,63794,56239,73604,19485,146199,66395,160895,42395,19485,36150,63794,56239,73604,158195,146199,160895,66395,158195,36150,42395,63794,146199,19485,56137,56239,146199,36150,78161,73604,78310,12362,78306,63336,158195,19485,56239,146199,36150,56137,78310,12362,56239,146199,36150,56137,78310,12362,78161,73604,146199,36150,160895,63336,158195,12362,78161,73604,146199,63336,56239,19485,63336,73604,19485,77739,158195,9237,57167,63336,78161
2034/2035,15,19877,74053,77628,8381,18393,2596,77562,77869,77828,158761,77017,132612,18402,42495,163246,77657,172028,156600,,,2596,74053,77628,18393,8381,77657,77562,77869,172028,163246,2596,74053,77628,18393,8381,77657,77562,77869,172028,163246,74053,2596,77628,18393,77562,77869,172028,8381,77017,19877,42495,158761,18402,132612,8381,77828,77628,2596,163246,18393,19877,42495,158761,77017,8381,77828,19877,42495,158761,77017,8381,77828,2596,19877,8381,18393,77628,74053,77828,158761,2596,19877,18393,77628,74053,8381,77869,77017,8381,77628,77657,77631,42415,19877,77869
